variable_name,label_fa,type,unit,valid_range,missing_codes,level,sensitive,notes
org_climate_score,جو سازمانی,float64,NA,1.4–4.53,system-missing/NA,employee-level,no,
org_support_score,حمایت سازمانی,float64,NA,1.47–4.73,system-missing/NA,employee-level,no,
org_context_score,بستر سازمانی,float64,NA,1.27–4.53,system-missing/NA,employee-level,no,
org_resources_score,منابع سازمانی,float64,NA,1.27–4.73,system-missing/NA,employee-level,no,
change_mgmt_capability_score,مدیریت تغییر,float64,NA,1.4–4.9,system-missing/NA,employee-level,no,
x1,فرهنگ آمادگی و نوآوری,float64,NA,1–5,system-missing/NA,employee-level,no,
x2,تعاملات درون و برون سازمانی,float64,NA,1.2–5,system-missing/NA,employee-level,no,
x3,پویایی سازمانی,float64,NA,1–4.8,system-missing/NA,employee-level,no,
x4,فرصتهای توسعه و آموزش,float64,NA,1.2–5,system-missing/NA,employee-level,no,
x5,منابع مالی,float64,NA,1–4.8,system-missing/NA,employee-level,no,
x6,ظرفیت‌سازی و بهبود عملکرد سازمانی,float64,NA,1–5,system-missing/NA,employee-level,no,
x7,مدیریت دانش در سازمان,float64,NA,1–5,system-missing/NA,employee-level,no,
x8,ساختار و پیشرفت تکنولوژیک,float64,NA,1.2–5,system-missing/NA,employee-level,no,
x9,سرمایه اجتماعی سازمان,float64,NA,1.2–5,system-missing/NA,employee-level,no,
x10,خودکارآمدی و انگیزش,float64,NA,1–4.8,system-missing/NA,employee-level,no,
x11,رهبری,float64,NA,1.2–4.8,system-missing/NA,employee-level,no,
x12,تعامل و مشارکت,float64,NA,1–5,system-missing/NA,employee-level,no,
x13,استراتژی‌ها و ظرفیت اجرای تغییرات,float64,NA,1–5,system-missing/NA,employee-level,no,
x14,حمایت رهبری,float64,NA,1–5,system-missing/NA,employee-level,no,
p1,,float64,NA,-2.14–3.57,system-missing/NA,employee-level,no,
p2,,float64,NA,-2.26–2.42,system-missing/NA,employee-level,no,
p3,,float64,NA,-2.4–2.89,system-missing/NA,employee-level,no,
p4,,float64,NA,-2.19–2.81,system-missing/NA,employee-level,no,
p5,,float64,NA,-2.9–2.79,system-missing/NA,employee-level,no,
p6,,float64,NA,-2.43–2.62,system-missing/NA,employee-level,no,
p7,,float64,NA,-3.27–2.68,system-missing/NA,employee-level,no,
p8,,float64,NA,-2.87–2.53,system-missing/NA,employee-level,no,
p9,,float64,NA,-2.44–2.84,system-missing/NA,employee-level,no,
p10,,float64,NA,-3.24–3.55,system-missing/NA,employee-level,no,
p11,,float64,NA,-2.98–2.83,system-missing/NA,employee-level,no,
p12,,float64,NA,-2.76–2.47,system-missing/NA,employee-level,no,
p13,,float64,NA,-2.65–3.14,system-missing/NA,employee-level,no,
p14,,float64,NA,-2.19–4.17,system-missing/NA,employee-level,no,
